Item,Part #,Est Sold Price (USD),eBay Fee (13.5% + $0.40),USPS Postage,Packaging,Net Profit (USD),List Solo?,Notes
"HTD F/R diff gear set 44T",E2244,42.00,6.07,5.50,0.75,29.68,Yes,"Top item; MBX7R/MGT demand"
"HTD F/R diff gear set 42T",E2248,42.00,6.07,5.50,0.75,29.68,Yes,"Top item"
"Rear universal driveshafts",E2015,38.00,5.53,5.50,0.75,26.22,Yes,"Good demand"
"Savox SB-2273SG servo",-,32.00,4.72,5.00,0.50,21.78,Yes,"Works; slow but worth one listing"
"LFR clear buggy body",-,30.00,4.45,9.00,1.50,15.05,Yes,"Bulky box = high postage"
"Conical gear 46T HTD",E2247,22.00,3.37,4.75,0.50,13.38,Yes,"MBX7TR"
"Conical gear 42T (pair)",E2203,28.00,4.18,5.00,0.75,18.07,Yes,"Sell 2 as a pair"
"Diff gear set (store re-pack)",-,18.00,2.83,5.00,0.50,9.67,Maybe,"Open/used"
"Gear box x2",E0146,18.00,2.83,5.00,0.50,9.67,Bundle,"Cheap; bundle"
"Front bumper foam x4",E0410,16.00,2.56,5.00,0.50,7.94,Bundle,"Filler lot"
"Center-transmission assembly",-,15.00,2.43,6.00,0.75,5.82,Bundle,"Used, heavier"
"Loose diff gears lot",-,12.00,2.02,5.00,0.50,4.48,Bundle,"Parts bin"
"Front upright (plastic)",E2129,12.00,2.02,4.75,0.50,4.73,Bundle,"MBX7R"
"Center diff mount",E2101,9.00,1.62,4.50,0.50,2.38,No,"Net too low solo - bundle"
"Diff case",E2201,8.00,1.48,4.50,0.50,1.52,No,"Barely beats postage - bundle"
"Diff case HTD",E2202,8.00,1.48,4.50,0.50,1.52,No,"Bundle"
"MGT7/E springs",-,8.00,1.48,4.50,0.50,1.52,No,"Bundle"
"Rear anti-roll bar 2.5",E2138,7.00,1.35,4.50,0.50,0.65,No,"Net ~$0.65 - bundle or free add-on"
"Painted buggy body",-,12.00,2.02,9.00,1.50,-0.52,No,"Postage > value; toss in FREE with a sale"
,,,,,,,,
"SCENARIO A: sell everything solo (~19 listings)",,203.24,,,,203.24,,"Most cash but ~19 shipments + hours of work; bottom items net $0.65-2.50"
"SCENARIO B: top 7 solo + rest as ONE bundle (~8 shipments)",,,,,,~199,,"Nearly same cash, less than half the effort - BEST $/hour"
"SCENARIO C: one big lot, single listing/box",,160.00,22.00,15.00,2.50,120.50,,"Least cash but ONE shipment, minimal time"
