Item,Part #,Qty,Condition,Plan,Avg Used Price (ea USD),Sellability,Realistic Net if Sold (USD),Notes
"Hobbywing Xerun XR8 Plus + 4274 G3 2250KV combo",combo,1,"used, fan missing, run hot",KEEP (run car),140,High,0,"Keep for the build. If sold: $130-150 healthy / $40-80 cooked. Bench-test first."
"AKA wheels/tires set",-,1,used,KEEP if truggy-size,38,Medium,0,"Keep if 1/8 truggy. Sell if buggy-size (~$25 net)."
"Pro-Line Badlands set",-,1,used,KEEP if truggy-size,32,Medium,0,"Same as above."
"Savox SB-2273SG servo",-,1,"used, works",SELL (optional),30,Low,18,"Works but sub-$20 PTK servos beat it. Slow seller."
"LFR clear buggy body",-,1,"new, uncut",SELL,28,Medium,17,"Won't use on a truggy. Uncut LFR bodies do move."
"Painted buggy body",-,1,used,SELL,10,Low,3,"Won't use; basher body. Filler."
"E2244 HTD F/R diff gear set 44T",E2244,1,new in pkg,SELL,38,Medium,22,"MBX7R/MGT only. Best-value item in the pile."
"E2248 HTD F/R diff gear set 42T",E2248,1,new in pkg,SELL,38,Medium,22,"MBX7R/MGT only."
"Conical gear 46T HTD",E2247,1,new in pkg,SELL,20,Medium-Low,9,"MBX7TR only (MBX8 uses E2264)."
"Conical gear 42T",E2203,2,new in pkg,SELL,15,Low,10,"MBX7 only. Sell as pair."
"Rear universal driveshafts",E2015,1,new in pkg,SELL,35,Medium,20,"MBX7R buggy. Decent demand."
"Gear box (plastic)",E0146,2,new in pkg,SELL,10,Low,7,"MBX7/MGT. Cheap filler."
"Center diff mount",E2101,1,new in pkg,SELL,8,Low,3,"MBX7/MGT only."
"Diff case",E2201,1,new in pkg,SELL,7,Low,2,"MBX7 standard case. Barely covers shipping."
"Diff case HTD",E2202,1,new in pkg,SELL,7,Low,2,"MBX7/MGT. Filler."
"Front upright (plastic)",E2129,1,new in pkg,SELL,11,Low-Medium,5,"MBX7R only (your car uses E2146)."
"Front bumper (foam)",E0410,4,new in pkg,SELL,5,Low,7,"MBX6/7 buggy. Sell as a lot of 4; pure filler."
"Rear anti-roll bar 2.5",E2138,1,new in pkg,SELL,6,Low,2,"MBX7. Filler."
"MGT7/E springs",-,2,new in pkg,SELL,7,Low,5,"MGT/MBX7. Filler."
"Loose diff bevel/spider gears",-,1 lot,used,SELL,12,Low,5,"Parts-bin lot."
"Center-transmission assembly",-,1,used,SELL,15,Low,6,"Used MBX7. Slow."
"Diff gear set (store re-pack, loose)",-,1,used,SELL,20,Low,9,"Open/used set. Sells cheap."
"E2232 HTD diff case",E2232,1,new in pkg,KEEP (rebuild),12,Medium,0,"FITS MBX8 - use for diff rebuild."
"E2241 HTD diff gasket",E2241,3,new in pkg,KEEP (rebuild),6,Medium,0,"FITS MBX8 - diff rebuild."
"E2242 HTD S6 o-rings",E2242,2,new in pkg,KEEP (rebuild),5,Medium,0,"FITS MBX8 - diff rebuild."
"E2243 HTD diff washer set",E2243,1,new in pkg,KEEP (rebuild),6,Low,0,"FITS MBX8 - diff rebuild."
"E0160 front lower kingpin ball",E0160,1,new in pkg,KEEP (rebuild),12,Medium,0,"FITS MBX8 - steering refresh."
"E2123 steel kingpin ball",E2123,1,new in pkg,KEEP (rebuild),12,Medium,0,"FITS MBX8 - steering refresh."
"E2301 servo saver set",E2301,2,new in pkg,KEEP (rebuild),9,Medium,0,"FITS MBX8."
"E2316 servo saver spring",E2316,1,new in pkg,KEEP (rebuild),5,Low,0,"FITS MBX8."
"E2146 front upright",E2146,1,new in pkg,KEEP (rebuild),12,Medium,0,"FITS MBX8/8T."
"E2116 Ti turnbuckle set",E2116,1,new in pkg,KEEP (rebuild),18,Medium,0,"FITS MBX8."
"RC57532 MBX8Te lower arms + sway bars",RC57532,1,new in pkg,KEEP (rebuild),35,Medium,0,"Truggy conversion arms - fits."
"RC55509 MBX8Te turnbuckle/ballcup kit",RC55509,1,new in pkg,KEEP (rebuild),22,Medium,0,"Truggy conversion - fits."
"Hardware (H0855/H0867/C0529A/C0271)",-,1 lot,new in pkg,KEEP (rebuild),15,Low,0,"Universal balls/links - covers some worn front-end."
"Alloy shock towers + bellcranks",-,1 set,used,KEEP if MBX8-cut,40,Low,0,"Verify MBX8 cut before trusting."
"Stainless steel screw kit",-,1,new,KEEP (rebuild),12,Low,0,"MBX8/8T - fits."
"E2152 rear lower arm mount R (alloy)",E2152,1,"BENT",SCRAP,0,None,0,"Damaged. Scrap/reference only."
"E2712 engine mount washer",E2712,1,new in pkg,SCRAP,2,None,0,"Nitro part - useless on electric."
"SUMMARY - SELL net (cash to fund rebuild)",,,,,,,~150-185,"Sum of Realistic Net; ~$110 if sold as one lot."
"SUMMARY - KEEP value (used toward the build)",,,,,,,~250-300,"XR8 combo + wheels + diff/steering/conversion spares."
"SUMMARY - Whole-lot worth (my estimate)",,,,,,,~275-375,"Healthy ESC top of range; cooked ESC ~$250-275."
